men_id,nin_id,men_generado_por,men_inicio,men_fin,men_kcal_total,men_estado,fecha_creacion,mei_id,mei_dia_idx,mei_comida,mei_kcal,rec_id,rec_nombre,rec_instrucciones,rec_activo
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,1,0,DESAYUNO,500,206,Puré de papa con huevo,Puré de papa; servir con huevo sancochado.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,2,0,ALMUERZO,800,207,Ensalada de palta y zanahoria,Mezclar palta en cubos con zanahoria rallada.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,3,0,CENA,600,203,Anchoveta al horno con yuca,Hornear anchoveta 15 min; servir con yuca cocida.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,4,1,DESAYUNO,500,215,Yogurt con mango y avena,"Mezclar yogurt, mango y avena hidratada.",1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,5,1,ALMUERZO,800,226,Brócoli salteado con queso fresco,Saltear brócoli; finalizar con queso fresco en cubos.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,6,1,CENA,600,221,Camote con huevo revuelto,Saltear camote en cubos; añadir huevo.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,7,2,DESAYUNO,500,216,Papaya con queso fresco,Servir cubos de papaya con queso fresco.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,8,2,ALMUERZO,800,222,Palta con tomate sobre pan integral,Untar pan; colocar palta y tomate.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,9,2,CENA,600,218,Quinua salteada con brócoli,Saltear quinua cocida con brócoli.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,10,3,DESAYUNO,500,227,"Tazón de frutas (naranja, papaya, fresa)",Cortar frutas y mezclar.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,11,3,ALMUERZO,800,224,Arroz con anchoveta y espinaca,Saltear anchoveta; mezclar con arroz y espinaca.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,12,3,CENA,600,201,Pollo a la plancha con ensalada,"Sellar pollo; acompañar con espinaca, zanahoria y tomate.",1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,13,4,DESAYUNO,500,204,Avena con yogurt y fresa,Cocer avena; mezclar con yogurt; agregar fresa.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,14,4,ALMUERZO,800,202,Guiso de lentejas con papa,Sofreír; añadir lentejas y papa; hervir 12–15 min.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,15,4,CENA,600,219,Hígado de pollo encebollado,Saltear hígado con cebolla; cocción completa.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,16,5,DESAYUNO,500,213,Arroz con lentejas y plátano salteado,Mezclar arroz/lentejas; servir con plátano salteado.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,17,5,ALMUERZO,800,217,Ensalada de tomate y cebolla,Cortar y mezclar; aliño suave.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,18,5,CENA,600,214,Bonito a la plancha con choclo,Plancha bonito; servir con maíz choclo.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,19,6,DESAYUNO,500,223,Sopa de pollo con verduras,Hervir pollo con zanahoria y papa.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,20,6,ALMUERZO,800,225,Lentejas con hígado en dados,Agregar dados de hígado a lentejas cocidas.,1
1,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:33:38,21,6,CENA,600,208,Camote al horno con queso fresco,Hornear camote; coronar con queso fresco.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,22,0,DESAYUNO,500,202,Guiso de lentejas con papa,Sofreír; añadir lentejas y papa; hervir 12–15 min.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,23,0,ALMUERZO,800,223,Sopa de pollo con verduras,Hervir pollo con zanahoria y papa.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,24,0,CENA,600,203,Anchoveta al horno con yuca,Hornear anchoveta 15 min; servir con yuca cocida.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,25,1,DESAYUNO,500,227,"Tazón de frutas (naranja, papaya, fresa)",Cortar frutas y mezclar.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,26,1,ALMUERZO,800,206,Puré de papa con huevo,Puré de papa; servir con huevo sancochado.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,27,1,CENA,600,222,Palta con tomate sobre pan integral,Untar pan; colocar palta y tomate.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,28,2,DESAYUNO,500,216,Papaya con queso fresco,Servir cubos de papaya con queso fresco.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,29,2,ALMUERZO,800,228,Maíz choclo con queso fresco,Servir choclo cocido con queso.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,30,2,CENA,600,204,Avena con yogurt y fresa,Cocer avena; mezclar con yogurt; agregar fresa.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,31,3,DESAYUNO,500,212,Sandwich de pan integral con pollo y palta,"Armar con pan, pollo deshilachado y palta.",1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,32,3,ALMUERZO,800,213,Arroz con lentejas y plátano salteado,Mezclar arroz/lentejas; servir con plátano salteado.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,33,3,CENA,600,215,Yogurt con mango y avena,"Mezclar yogurt, mango y avena hidratada.",1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,34,4,DESAYUNO,500,201,Pollo a la plancha con ensalada,"Sellar pollo; acompañar con espinaca, zanahoria y tomate.",1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,35,4,ALMUERZO,800,211,"Sopa de verduras (brócoli, zanahoria, papa)",Hervir verduras; sazonar suave.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,36,4,CENA,600,219,Hígado de pollo encebollado,Saltear hígado con cebolla; cocción completa.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,37,5,DESAYUNO,500,208,Camote al horno con queso fresco,Hornear camote; coronar con queso fresco.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,38,5,ALMUERZO,800,225,Lentejas con hígado en dados,Agregar dados de hígado a lentejas cocidas.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,39,5,CENA,600,210,Garbanzo salteado con cebolla y tomate,Saltear cebolla/tomate; agregar garbanzo cocido.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,40,6,DESAYUNO,500,207,Ensalada de palta y zanahoria,Mezclar palta en cubos con zanahoria rallada.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,41,6,ALMUERZO,800,217,Ensalada de tomate y cebolla,Cortar y mezclar; aliño suave.,1
2,299,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:35:53,42,6,CENA,600,218,Quinua salteada con brócoli,Saltear quinua cocida con brócoli.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,43,0,DESAYUNO,500,218,Quinua salteada con brócoli,Saltear quinua cocida con brócoli.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,44,0,ALMUERZO,800,204,Avena con yogurt y fresa,Cocer avena; mezclar con yogurt; agregar fresa.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,45,0,CENA,600,207,Ensalada de palta y zanahoria,Mezclar palta en cubos con zanahoria rallada.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,46,1,DESAYUNO,500,229,Avena con plátano y naranja,Cocer avena en leche; añadir plátano y gajos de naranja.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,47,1,ALMUERZO,800,222,Palta con tomate sobre pan integral,Untar pan; colocar palta y tomate.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,48,1,CENA,600,219,Hígado de pollo encebollado,Saltear hígado con cebolla; cocción completa.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,49,2,DESAYUNO,500,206,Puré de papa con huevo,Puré de papa; servir con huevo sancochado.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,50,2,ALMUERZO,800,225,Lentejas con hígado en dados,Agregar dados de hígado a lentejas cocidas.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,51,2,CENA,600,213,Arroz con lentejas y plátano salteado,Mezclar arroz/lentejas; servir con plátano salteado.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,52,3,DESAYUNO,500,200,Quinua con leche y plátano,Hervir quinua con leche; servir con plátano.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,53,3,ALMUERZO,800,217,Ensalada de tomate y cebolla,Cortar y mezclar; aliño suave.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,54,3,CENA,600,201,Pollo a la plancha con ensalada,"Sellar pollo; acompañar con espinaca, zanahoria y tomate.",1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,55,4,DESAYUNO,500,215,Yogurt con mango y avena,"Mezclar yogurt, mango y avena hidratada.",1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,56,4,ALMUERZO,800,216,Papaya con queso fresco,Servir cubos de papaya con queso fresco.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,57,4,CENA,600,224,Arroz con anchoveta y espinaca,Saltear anchoveta; mezclar con arroz y espinaca.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,58,5,DESAYUNO,500,221,Camote con huevo revuelto,Saltear camote en cubos; añadir huevo.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,59,5,ALMUERZO,800,211,"Sopa de verduras (brócoli, zanahoria, papa)",Hervir verduras; sazonar suave.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,60,5,CENA,600,220,Guiso de frejol canario con arroz,Cocer frejol; servir con arroz.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,61,6,DESAYUNO,500,227,"Tazón de frutas (naranja, papaya, fresa)",Cortar frutas y mezclar.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,62,6,ALMUERZO,800,226,Brócoli salteado con queso fresco,Saltear brócoli; finalizar con queso fresco en cubos.,1
3,202,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:39:57,63,6,CENA,600,210,Garbanzo salteado con cebolla y tomate,Saltear cebolla/tomate; agregar garbanzo cocido.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,64,0,DESAYUNO,500,208,Camote al horno con queso fresco,Hornear camote; coronar con queso fresco.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,65,0,ALMUERZO,800,219,Hígado de pollo encebollado,Saltear hígado con cebolla; cocción completa.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,66,0,CENA,600,201,Pollo a la plancha con ensalada,"Sellar pollo; acompañar con espinaca, zanahoria y tomate.",1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,67,1,DESAYUNO,500,216,Papaya con queso fresco,Servir cubos de papaya con queso fresco.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,68,1,ALMUERZO,800,212,Sandwich de pan integral con pollo y palta,"Armar con pan, pollo deshilachado y palta.",1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,69,1,CENA,600,202,Guiso de lentejas con papa,Sofreír; añadir lentejas y papa; hervir 12–15 min.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,70,2,DESAYUNO,500,221,Camote con huevo revuelto,Saltear camote en cubos; añadir huevo.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,71,2,ALMUERZO,800,211,"Sopa de verduras (brócoli, zanahoria, papa)",Hervir verduras; sazonar suave.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,72,2,CENA,600,228,Maíz choclo con queso fresco,Servir choclo cocido con queso.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,73,3,DESAYUNO,500,204,Avena con yogurt y fresa,Cocer avena; mezclar con yogurt; agregar fresa.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,74,3,ALMUERZO,800,218,Quinua salteada con brócoli,Saltear quinua cocida con brócoli.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,75,3,CENA,600,229,Avena con plátano y naranja,Cocer avena en leche; añadir plátano y gajos de naranja.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,76,4,DESAYUNO,500,214,Bonito a la plancha con choclo,Plancha bonito; servir con maíz choclo.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,77,4,ALMUERZO,800,206,Puré de papa con huevo,Puré de papa; servir con huevo sancochado.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,78,4,CENA,600,213,Arroz con lentejas y plátano salteado,Mezclar arroz/lentejas; servir con plátano salteado.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,79,5,DESAYUNO,500,215,Yogurt con mango y avena,"Mezclar yogurt, mango y avena hidratada.",1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,80,5,ALMUERZO,800,220,Guiso de frejol canario con arroz,Cocer frejol; servir con arroz.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,81,5,CENA,600,225,Lentejas con hígado en dados,Agregar dados de hígado a lentejas cocidas.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,82,6,DESAYUNO,500,203,Anchoveta al horno con yuca,Hornear anchoveta 15 min; servir con yuca cocida.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,83,6,ALMUERZO,800,227,"Tazón de frutas (naranja, papaya, fresa)",Cortar frutas y mezclar.,1
4,199,IA,2025-10-21,2025-10-27,13300,BORRADOR,2025-10-14 19:47:12,84,6,CENA,600,205,Arroz con pollo y brócoli,Saltear pollo; añadir arroz y brócoli.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,85,0,DESAYUNO,391,200,Quinua con leche y plátano,Hervir quinua con leche; servir con plátano.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,86,0,ALMUERZO,387,205,Arroz con pollo y brócoli,Saltear pollo; añadir arroz y brócoli.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,87,0,CENA,397,203,Anchoveta al horno con yuca,Hornear anchoveta 15 min; servir con yuca cocida.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,88,1,DESAYUNO,303,204,Avena con yogurt y fresa,Cocer avena; mezclar con yogurt; agregar fresa.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,89,1,ALMUERZO,243,201,Pollo a la plancha con ensalada,"Sellar pollo; acompañar con espinaca, zanahoria y tomate.",1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,90,1,CENA,136,207,Ensalada de palta y zanahoria,Mezclar palta en cubos con zanahoria rallada.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,91,2,DESAYUNO,450,212,Sandwich de pan integral con pollo y palta,"Armar con pan, pollo deshilachado y palta.",1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,92,2,ALMUERZO,384,220,Guiso de frejol canario con arroz,Cocer frejol; servir con arroz.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,93,2,CENA,243,223,Sopa de pollo con verduras,Hervir pollo con zanahoria y papa.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,94,3,DESAYUNO,298,215,Yogurt con mango y avena,"Mezclar yogurt, mango y avena hidratada.",1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,95,3,ALMUERZO,379,213,Arroz con lentejas y plátano salteado,Mezclar arroz/lentejas; servir con plátano salteado.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,96,3,CENA,267,206,Puré de papa con huevo,Puré de papa; servir con huevo sancochado.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,97,4,DESAYUNO,261,221,Camote con huevo revuelto,Saltear camote en cubos; añadir huevo.,1
6,299,IA,2025-10-21,2025-10-27,6195,BORRADOR,2025-10-14 19:51:10,98,4,ALMUERZO,326,224,Arroz con anchoveta y espinaca,Saltear anchoveta; mezclar con arroz y espinaca.,1
